link;source;created;lastSeen
http://www.dr.dk/event/melodigrandprix/nyheder/analyse-her-er-tre-grunde-til-danmark-roeg-ud-af-eurovision;https://www.facebook.com/DRNyheder/;13/05/16 07:35;14/05/16 07:05
http://www.dr.dk/event/melodigrandprix/nyheder/choksejr-ukraine-vinder-eurovision-2016;https://www.facebook.com/DRNyheder/;14/05/16 22:55;16/05/16 08:15
http://www.dr.dk/event/melodigrandprix/nyheder/download-hent-din-stemmeseddel-til-eurovision-finalen;https://www.facebook.com/DRNyheder/;14/05/16 09:35;15/05/16 13:15
http://www.dr.dk/event/melodigrandprix/nyheder/guide-alt-du-skal-vide-om-2-eurovision-semifinale;https://www.facebook.com/DRNyheder/;12/05/16 16:55;13/05/16 13:35
http://www.dr.dk/event/melodigrandprix/nyheder/hilda-heick-gav-forkerte-stemmer-med-eurovision;https://www.facebook.com/DRNyheder/;15/05/16 09:05;16/05/16 11:15
http://www.dr.dk/event/melodigrandprix/nyheder/homoballade-og-buh-raab-i-aften-er-grand-prixets-problembarn;https://www.facebook.com/DRNyheder/;14/05/16 18:05;16/05/16 07:45
http://www.dr.dk/event/melodigrandprix/nyheder/justin-timberlake-skal-spille-til-eurovision-finalen;https://www.facebook.com/DRNyheder/;09/05/16 13:45;10/05/16 09:25
http://www.dr.dk/event/melodigrandprix/nyheder/kontroversiel-grand-prix-vinder-sang-om-krim-handler-ogsaa-om-i-dag;https://www.facebook.com/DRNyheder/;15/05/16 07:05;16/05/16 09:15
http://www.dr.dk/event/melodigrandprix/nyheder/nedtur-danmark-ude-af-grand-prix-igen;https://www.facebook.com/DRNyheder/;12/05/16 21:35;13/05/16 17:05
http://www.dr.dk/event/melodigrandprix/nyheder/norden-ydmyget-her-er-de-10-foerste-eurovision-finalister;https://www.facebook.com/DRNyheder/;10/05/16 21:25;11/05/16 16:05
http://www.dr.dk/event/melodigrandprix/nyheder/nu-spaar-bookmakerne-danmark-finaleplads-i-eurovision;https://www.facebook.com/DRNyheder/;05/05/16 17:45;06/05/16 19:35
http://www.dr.dk/event/melodigrandprix/videoer/video-her-saetter-eurovision-spot-paa-flygtningekrisen;https://www.facebook.com/DRNyheder/;11/05/16 06:35;11/05/16 18:35
